first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
tronant,tronant,rs,,s,tron,,ant,tronant,target,s,0.0,2,t,h,tronanh,0
érpernisurcnoiletnem,érpernisurcnoilotnem,ppprsss,ppp,sss,surc,érp_er_ni,noi_le_tnem,érpernisurcnoiletnem,control,s,1.0,1,e,o,érpernisurcnoilotnem,1
tiamtneleetsi,tiamtnuleetsi,rsss,,sss,tiam,,tne_le_etsi,tiamtneleetsi,control,s,0.0,2,e,u,tiamtnuleetsi,1
ernikalnoileemsi,ernikalnoileemsi,pprsss,pp,sss,kal,er_ni,noi_le_emsi,ernikalnoileemsi,control,s,0.0,1,o,é,ernikalnéileemsi,0
erédnortéti,erédnortéti,pprs,pp,s,nort,er_éd,éti,erédnortéti,control,p,1.0,0,é,u,erudnortéti,0
reinfoirif,reonfoirif,pprs,pp,s,foir,re_in,if,reinfoirif,target,p,1.0,0,i,o,reonfoirif,1
ernirusriofnoile,ernirusriofnoile,ppprss,ppp,ss,riof,er_ni_rus,noi_le,ernirusriofnoile,control,p,0.0,0,e,u,urnirusriofnoile,0
poulable,pouleble,rs,,s,poul,,able,poulable,target,s,0.0,0,a,e,pouleble,1
érpédtroc,érpédtroc,ppr,pp,,troc,érp_éd,,érpédtroc,control,r,,3,c,p,érpédtrop,0
débafablement,dobafablement,prss,p,ss,baf,dé,able_ment,débafablement,target,p,0.0,1,é,o,dobafablement,1
tiamtnaleetsi,tiamtnaneetsi,rsss,,sss,tiam,,tna_le_etsi,tiamtnaleetsi,control,s,1.0,0,l,n,tiamtnaneetsi,1
siattna,siattni,rs,,s,siat,,tna,siattna,control,s,0.0,2,a,i,siattni,1
melklaemsi,melklaemsi,rss,,ss,melk,,la_emsi,melklaemsi,control,r,,0,m,n,nelklaemsi,0
erniédfabtnemeria,erniédfattnemeria,ppprss,ppp,ss,fab,er_ni_éd,tnem_eria,erniédfabtnemeria,control,r,,2,b,t,erniédfattnemeria,1
reinsurtaisablement,reinsurtaidablement,ppprss,ppp,ss,tais,re_in_sur,able_ment,reinsurtaisablement,target,r,,3,s,d,reinsurtaidablement,1
nortnoiletnem,nertnoiletnem,rsss,,sss,nort,,noi_le_tnem,nortnoiletnem,control,r,,1,o,e,nertnoiletnem,1
trattna,trattna,rs,,s,trat,,tna,trattna,control,s,0.0,0,t,d,tratdna,0
nisurcnoileemsi,nisurcnoileemsi,prsss,p,sss,surc,ni,noi_le_emsi,nisurcnoileemsi,control,p,0.0,1,i,a,nasurcnoileemsi,0
érprèim,érprèim,pr,p,,rèim,érp,,érprèim,control,r,,1,è,i,érpriim,0
remièrent,remièrent,prs,p,s,mièr,re,ent,remièrent,target,r,,3,r,m,remièment,0
édluopla,édleopla,prs,p,s,luop,éd,la,édluopla,control,r,,1,u,e,édleopla,1
rusnesurc,rusnesurs,ppr,pp,,surc,rus_ne,,rusnesurc,control,r,,3,c,s,rusnesurs,1
reinsurboitionelment,reinsurboitionelment,ppprsss,ppp,sss,boit,re_in_sur,ion_el_ment,reinsurboitionelment,target,s,1.0,1,l,n,reinsurboitionenment,0
reinsurmièrionelité,reinsurmièriunelité,ppprsss,ppp,sss,mièr,re_in_sur,ion_el_ité,reinsurmièrionelité,target,s,0.0,1,o,u,reinsurmièriunelité,1
désanment,césanment,prs,p,s,san,dé,ment,désanment,target,p,0.0,0,d,c,césanment,1
léuteuqitnem,léuteuqipnem,rss,,ss,léut,,euqi_tnem,léuteuqitnem,control,s,1.0,0,t,p,léuteuqipnem,1
erédnuajnoileemsi,erédnuajnoileemsi,pprsss,pp,sss,nuaj,er_éd,noi_le_emsi,erédnuajnoileemsi,control,r,,3,j,n,erédnuannoileemsi,0
redébicant,redésicant,pprs,pp,s,bic,re_dé,ant,redébicant,target,r,,0,b,s,redésicant,1
retaiselité,retaeselité,prss,p,ss,tais,re,el_ité,retaiselité,target,r,,2,i,e,retaeselité,1
nirèimeuqitnem,rirèimeuqitnem,prss,p,ss,rèim,ni,euqi_tnem,nirèimeuqitnem,control,p,0.0,0,n,r,rirèimeuqitnem,1
reindébic,reindébic,pppr,ppp,,bic,re_in_dé,,reindébic,target,r,,0,b,s,reindésic,0
encrusent,encrusent,prs,p,s,crus,en,ent,encrusent,target,s,0.0,0,e,i,encrusint,0
rid,rod,r,,,rid,,,rid,control,r,,1,i,o,rod,1
reindéfilmentaire,reindéfelmentaire,ppprss,ppp,ss,fil,re_in_dé,ment_aire,reindéfilmentaire,target,r,,1,i,e,reindéfelmentaire,1
listnemeria,listnemeréa,rss,,ss,lis,,tnem_eria,listnemeria,control,s,1.0,2,i,é,listnemeréa,1
recrus,recrus,pr,p,,crus,re,,recrus,target,r,,3,s,t,recrut,0
erniédnas,erniétnas,pppr,ppp,,nas,er_ni_éd,,erniédnas,control,p,2.0,1,d,t,erniétnas,1
reindétronion,reindatronion,ppprs,ppp,s,tron,re_in_dé,ion,reindétronion,target,p,2.0,1,é,a,reindatronion,1
érpnisuostiobnoiletnem,érpnisuostiobnoiletnem,ppprsss,ppp,sss,tiob,érp_ni_suos,noi_le_tnem,érpnisuostiobnoiletnem,control,s,2.0,2,e,a,érpnisuostiobnoiletnam,0
refoireur,refoiruur,prs,p,s,foir,re,eur,refoireur,target,s,0.0,0,e,u,refoiruur,1
maitiquement,méitiquement,rss,,ss,mait,,ique_ment,maitiquement,target,r,,1,a,é,méitiquement,1
reinsurlakistique,reinsurnakistique,ppprss,ppp,ss,lak,re_in_sur,ist_ique,reinsurlakistique,target,r,,0,l,n,reinsurnakistique,1
préinsousbour,préinsousbour,pppr,ppp,,bour,pré_in_sous,,préinsousbour,target,r,,3,r,n,préinsousboun,0
reblôtité,rablôtité,prs,p,s,blôt,re,ité,reblôtité,target,p,0.0,1,e,a,rablôtité,1
netoidtnaleetsi,netuidtnaleetsi,prsss,p,sss,toid,ne,tna_le_etsi,netoidtnaleetsi,control,r,,1,o,u,netuidtnaleetsi,1
tuélionel,duélionel,rss,,ss,tuél,,ion_el,tuélionel,target,r,,0,t,d,duélionel,1
bafable,bafazle,rs,,s,baf,,able,bafable,target,s,0.0,1,b,z,bafazle,1
erkaleuqitnem,erkaleuqitnem,prss,p,ss,kal,er,euqi_tnem,erkaleuqitnem,control,s,1.0,0,t,c,erkaleuqicnem,0
démaitionelité,démaitionelité,prsss,p,sss,mait,dé,ion_el_ité,démaitionelité,target,s,1.0,0,e,a,démaitionalité,0
érpernas,érpernas,ppr,pp,,nas,érp_er,,érpernas,control,p,0.0,2,p,d,érdernas,0
préreincertionelment,préreincertionelment,ppprsss,ppp,sss,cert,pré_re_in,ion_el_ment,préreincertionelment,target,r,,2,r,l,préreinceltionelment,0
enfoir,enfoor,pr,p,,foir,en,,enfoir,target,r,,2,i,o,enfoor,1
prérecertmentaire,prérecertmentaire,pprss,pp,ss,cert,pré_re,ment_aire,prérecertmentaire,target,s,0.0,2,n,l,prérecertmeltaire,0
ersurc,ersurc,pr,p,,surc,er,,ersurc,control,p,0.0,0,e,i,irsurc,0
ruobnoileéti,ruobnoileati,rsss,,sss,ruob,,noi_le_éti,ruobnoileéti,control,s,2.0,0,é,a,ruobnoileati,1
reinprévionelisme,reinprivionelisme,pprsss,pp,sss,prév,re_in,ion_el_isme,reinprévionelisme,target,r,,2,é,i,reinprivionelisme,1
érpnisuosruob,érpnisuosruob,pppr,ppp,,ruob,érp_ni_suos,,érpnisuosruob,control,r,,3,b,x,érpnisuosruox,0
