Prefix2,Prefix1,Suffix1,PermutedPrefix2,PermutedPrefix1,PermutedSuffix1,Example1,Example2
im,pré,able,mi,rép,albe,imprévisible,impréparable
re,n,ment,er,n,nemt,renversement,renfoncement
in,sur,able,ni,rus,albe,insurmontable,insurpassable
ir,re,able,ri,er,albe,irréconsiliable,irrecevable
in,com,able,ni,moc,able,incommensurable,incombustible
im,pré,ion,mi,érp,oin,impréparation,impréparable
in,sou,able,ni,ous,albe,insoutenirable,
dés,en,er,séd,ne,re,désencadrer,désengager
sur,en,ment,rus,ne,nemt,surendettement,surentraînement
re,dé,age,er,éd,ega,redécoupage,
dés,in,er,séd,ni,re,désincruster,désincarcérer
