Prefix1,Suffix1,Suffix2,PermutedPrefix1,PermutedSuffix1,PermutedSuffix2,Example1,Example2
re,able,ment,er,albe,nemt,remarquablement,
re,ion,aire,er,oni,erai,réactionaire,
pré,euse,ment,rép,esue,nemt,précautionneusement,
in,able,ment,ri,albe,nemt,irrésistiblement,irrémédiablement
in,ière,ment,ri,eriè,nemt,irrégulièrement,
in,aire,ment,ni,arie,nemt,involontairement,
in,able,ité,ri,albe,tié,irrecevabilité,
in,able,ment,ni,albe,nemt,incroyablement,invariablement
in,al,ité,ni,la,tié,intemporalité,
in,abil,ité,ni,albi,tié,insensibilité,inflammabilité
in,iv,ité,mi,vi,tié,impulsivité,
in,el,ité,mi,le,tié,immortelité,
dé,able,ment,éd,albe,nemt,désagreablement,
re,isse,ment,er,essi,nemt,refroidissement,rebondissement
re,iss,ant,er,sis,nat,respendissant,
re,at,ion,er,ta,oin,réanimation,réconciliation
sur,at,ion,rus,ta,oin,suralimentation,surcompensation
pré,ique,ment,rép,equi,nemt,préhistoriquement,
re,ité,ion,er,tié,oin,réhabilitation,
uni,ion,el,inu,oin,le,unidirectionel,
