Example1,Example2,Example3,Prefix2,Prefix1
rediscover,redistribute,rediscourage,re,dis
premisalignment,premistake,premisuse,pre,mis
predisposition,predispose,predisambiguation,pre,dis
predecentralistion,predehydration,predeforestation,pre,de
remisaddress,remisalign,remistake,re,mis
redeflate,redehydrate,redecentralize,re,de
reoutsmart,reoutsell,reoutnumber,re,out
reovercook,reoverdo,reovercome,re,over
unpremeditated,unprecedented,unprecautious,un,pre
insubordinate,insubmersible,,in,sub
unbeholden,unbeknown,,un,be
indissoluble,indisposed,,in,dis
reinforce,reinstate,reinstall,re,in
