Prefix1,Suffix1,PermutedPrefix1,PermutedSuffix1,Example1,Example2
dé,age,éd,eag,déballage,débouchage
dé,ant,éd,tan,débordant,déodorant
dé,eur,éd,eru,décodeur,découvreur
dé,ion,éd,oin,déconstruction,décontraction
en,age,ne,eag,embouteillage,emballage
en,eur,ne,eru,emmerdeur,empailleur
en,ant,ne,tan,enivrant,
en,ade,ne,eda,engueulade,enfilade
re,eur,er,ure,réacteur,revendeur
re,ion,er,oin,réaction,réinsertion
re,ant,er,tan,recueillant,réjouissant
re,at,er,ta,renégat,
re,age,er,eag,repassage,repêchage
re,ure,er,eru,revoyure,réécriture
sur,el,rus,le,surnaturelle,
in,el,ni,le,immortel,immatériel
in,ité,ni,éti,immoralité,impossibilité
in,ent,ni,tan,imposant,imprudent
in,ude,ni,edu,inaptitude,incertitude
in,ion,ni,oin,inaction,impulsion
in,if,ni,fi,inexpressif,inoffensif
